traffic,rain,pop,dist,is_neg,deficit
3.31,48,25000,14.09,0,18
0.52,51,5000,28.8,1,13
1.67,32,25000,8.56,0,16
1.89,21,25000,20.8,0,15
2.38,4,15000,28.28,1,27
3.72,17,5000,20.24,1,22
1.71,37,15000,26.27,1,22
1.71,36,5000,25.0,1,14
3.08,93,15000,11.44,1,22
2.08,94,25000,18.4,1,26
1.29,63,15000,5.53,1,14
2.08,9,15000,16.53,1,20
0.99,78,25000,7.68,0,14
1.12,41,15000,22.57,1,17
2.24,47,25000,16.31,1,24
1.97,43,5000,12.93,0,8
3.7,81,15000,8.8,1,22
1.77,86,25000,29.96,1,27
2.53,96,25000,3.08,1,24
2.71,15,15000,2.26,1,12
0.55,53,5000,7.3,0,5
2.82,34,15000,29.16,0,17
1.12,97,25000,29.4,1,28
3.86,27,5000,19.99,0,18
1.02,1,15000,26.52,0,12
1.95,93,25000,7.2,0,17
0.8,12,15000,29.19,0,10
3.99,40,5000,5.14,0,4
2.26,79,5000,3.93,0,5
2.58,58,5000,4.25,1,14
0.73,68,5000,17.62,1,13
3.12,91,5000,23.65,0,15
1.23,52,15000,11.63,0,8
3.64,44,5000,29.36,0,22
1.22,19,5000,13.6,1,13
1.17,23,25000,5.36,1,15
0.63,60,5000,14.51,1,13
2.15,90,25000,20.69,1,28
2.48,93,25000,25.13,1,29
0.73,57,25000,14.3,1,23
3.21,26,15000,18.21,0,15
2.09,25,15000,8.75,1,13
2.34,6,25000,19.73,1,23
2.04,41,15000,29.59,1,26
1.9,46,5000,2.42,0,4
2.46,52,15000,26.71,1,22
1.04,58,5000,17.31,0,9
1.14,37,5000,8.31,0,6
3.52,68,15000,28.69,1,31
3.81,86,15000,15.02,1,26
1.81,91,25000,10.62,1,22
1.45,97,15000,6.26,0,11
2.75,52,15000,8.09,1,19
1.93,14,15000,25.15,0,12
0.59,95,5000,18.82,0,12
1.05,25,5000,27.48,1,16
3.01,47,5000,7.73,1,12
2.81,94,25000,4.51,1,26
0.59,18,25000,1.18,0,11
1.28,8,25000,15.73,1,22
1.31,63,5000,29.95,0,11
2.85,92,15000,21.15,1,25
0.57,53,25000,9.94,0,13
0.86,50,25000,26.43,1,17
3.3,38,5000,23.67,1,23
1.12,3,25000,1.45,0,9
2.78,2,15000,24.69,0,18
1.33,63,5000,9.72,1,16
0.85,28,5000,5.34,0,3
1.35,10,15000,7.56,0,7
3.03,96,15000,14.59,0,19
3.49,57,15000,13.32,0,15
3.41,74,25000,9.38,1,27
1.89,26,15000,5.99,0,8
2.84,96,5000,23.1,1,26
1.22,20,15000,29.71,1,18
1.53,38,5000,23.56,1,16
3.64,94,5000,9.58,0,14
0.55,45,25000,8.1,1,20
0.8,65,15000,7.31,1,18
1.23,90,25000,4.96,1,19
0.59,35,15000,16.99,1,14
1.14,74,15000,18.56,1,19
2.54,81,15000,21.46,0,17
1.97,64,15000,20.73,1,23
3.62,62,15000,9.48,0,13
3.36,98,5000,10.58,1,17
1.7,34,5000,20.76,1,17
1.41,30,15000,11.13,0,8
1.83,27,5000,7.17,0,3
2.57,0,25000,11.86,1,22
1.44,24,25000,8.89,1,22
2.68,42,25000,3.56,1,20
1.93,83,15000,25.07,1,20
2.43,66,15000,25.74,1,26
2.03,62,5000,7.37,0,6
1.53,50,5000,2.88,1,13
3.82,1,5000,22.43,1,20
3.17,81,25000,7.13,0,20
0.99,63,25000,12.41,0,14
3.54,73,25000,2.86,1,20
2.21,68,25000,7.56,0,12
3.63,8,5000,23.99,0,14
3.3,1,15000,24.33,0,18
1.99,33,15000,7.01,1,16
0.58,59,25000,10.74,1,21
1.44,60,15000,4.89,1,19
2.4,30,15000,3.15,0,9
2.72,9,15000,29.77,1,25
1.4,75,25000,20.01,1,26
0.99,35,5000,16.72,0,7
3.42,84,5000,23.2,1,22
3.95,48,15000,25.36,0,22
2.34,69,5000,24.39,0,10
1.1,48,5000,1.48,0,3
1.45,2,25000,6.42,0,8
0.56,73,25000,19.99,1,22
3.7,4,15000,11.9,1,21
0.91,89,15000,29.49,1,19
2.52,60,15000,20.3,0,15
1.46,84,25000,28.74,1,28
2.44,89,5000,6.84,1,14
2.78,25,25000,26.05,0,23
3.4,71,25000,10.32,0,20
1.22,4,5000,29.7,1,12
0.54,14,5000,5.57,0,2
0.98,15,15000,15.97,1,14
3.65,0,5000,23.99,0,12
3.56,15,5000,13.55,0,11
2.59,36,5000,14.57,1,17
2.6,2,5000,29.6,0,14
2.83,51,15000,13.33,0,17
1.11,46,15000,18.52,0,11
3.7,94,5000,2.58,1,15
1.97,12,5000,25.42,1,17
1.84,79,15000,19.8,1,20
2.32,54,15000,12.72,0,15
0.66,20,5000,1.47,0,3
1.08,65,25000,18.16,0,18
3.08,53,15000,1.37,0,7
0.79,26,15000,1.03,1,14
2.61,37,15000,18.87,1,20
1.36,89,5000,6.48,0,6
1.86,57,5000,6.56,1,15
1.51,61,15000,19.94,1,20
1.74,45,5000,2.56,1,8
3.02,88,5000,10.09,0,10
1.54,10,15000,5.33,1,16
2.48,71,5000,17.83,1,16
2.17,7,25000,20.19,1,21
2.82,96,5000,21.91,1,22
3.78,70,5000,8.4,1,17
3.06,63,15000,3.59,0,9
1.25,20,15000,3.28,1,14
0.61,71,25000,13.36,1,21
1.42,62,5000,28.43,0,11
2.58,84,25000,7.31,1,18
0.68,63,25000,8.45,0,14
2.24,19,15000,3.93,0,8
2.59,7,5000,18.56,0,10
1.67,57,15000,20.72,0,13
3.2,45,25000,19.65,1,27
0.87,30,25000,25.97,1,22
0.76,92,15000,15.11,0,15
3.05,8,15000,4.9,1,12
2.23,14,15000,9.39,0,11
2.91,93,15000,20.21,1,28
2.02,25,15000,18.78,1,20
1.36,9,25000,16.4,0,16
3.37,28,15000,20.81,1,23
3.3,79,5000,19.48,0,18
2.93,35,25000,26.56,1,28
1.45,83,25000,17.99,1,24
2.57,36,5000,23.58,1,18
1.76,85,5000,8.21,0,7
0.82,70,25000,20.67,0,13
3.71,22,15000,27.16,0,18
0.98,40,25000,12.19,1,22
3.83,92,25000,23.59,0,25
2.06,79,5000,22.02,0,13
1.15,27,25000,2.73,0,9
2.4,47,15000,17.86,1,19
3.56,37,5000,4.78,1,14
3.06,30,25000,29.05,1,31
3.32,13,25000,24.53,1,29
2.81,96,15000,4.18,0,15
2.92,72,25000,4.53,1,21
3.47,90,25000,18.24,0,26
1.37,87,25000,11.0,1,20
2.21,76,25000,2.01,0,12
1.27,89,15000,16.71,0,13
3.96,28,25000,12.25,1,25
3.8,50,25000,3.93,0,13
0.64,48,25000,24.26,0,14
2.97,42,5000,27.54,0,19
3.74,91,15000,22.94,0,23
1.13,91,5000,24.85,1,13
2.49,71,5000,7.28,1,11
3.7,86,15000,8.64,0,19
0.62,92,5000,7.05,1,16
2.94,4,5000,23.19,0,12
1.54,41,5000,28.49,0,12
3.74,6,15000,21.79,1,25
3.9,41,25000,26.56,0,30
3.8,35,15000,19.52,1,23
2.16,26,15000,12.24,0,9
3.52,57,15000,13.35,1,25
3.46,45,5000,3.18,1,9
1.62,65,25000,1.91,0,14
3.4,24,15000,21.17,1,24
0.63,72,15000,13.71,0,12
2.59,26,25000,17.01,1,24
1.31,0,25000,17.17,0,13
0.92,86,25000,9.04,1,21
0.77,73,5000,14.8,1,11
2.94,41,25000,14.65,1,24
1.69,51,5000,12.26,0,10
3.04,24,15000,24.8,1,24
0.73,53,5000,14.08,0,9
1.6,66,25000,18.51,1,25
2.39,5,5000,26.97,1,19
3.27,57,25000,26.12,0,25
1.62,69,5000,26.82,1,17
2.69,52,15000,8.83,0,16
3.6,65,5000,2.01,0,8
2.66,57,15000,8.57,0,12
1.32,81,25000,9.08,0,19
0.59,86,15000,27.37,0,14
3.55,1,25000,19.83,1,24
0.57,75,25000,3.37,0,13
3.56,21,15000,4.93,1,17
2.35,36,15000,5.51,0,13
3.79,19,5000,19.28,0,19
3.3,23,5000,22.33,1,20
3.99,83,15000,25.93,1,33
1.73,64,15000,28.28,0,15
3.19,64,15000,6.85,0,11
1.91,80,15000,9.98,1,15
2.18,0,25000,7.97,1,19
2.7,93,15000,11.4,0,18
3.56,2,15000,27.53,0,22
3.94,45,15000,17.68,0,19
3.19,54,15000,22.41,1,28
1.96,74,25000,15.21,0,24
1.97,87,5000,1.84,1,11
3.08,85,5000,2.86,1,9
1.34,63,5000,16.6,0,9
0.89,44,5000,21.84,0,9
1.74,25,5000,7.24,1,8
1.51,76,25000,21.94,0,20
1.54,64,5000,24.51,0,10
1.32,23,25000,12.95,1,20
0.65,73,25000,22.65,0,14
0.56,34,5000,12.72,1,9
3.96,23,5000,20.67,1,19
2.0,27,5000,23.16,0,12
1.85,99,15000,29.77,1,24
2.88,79,25000,11.02,1,25
1.26,15,5000,12.92,0,5
3.82,58,15000,5.8,1,16
3.25,80,25000,6.92,0,18
0.81,53,15000,21.11,1,18
1.96,78,15000,27.59,1,26
3.58,15,5000,12.44,1,18
3.81,14,25000,6.22,1,18
2.14,97,15000,9.27,1,21
2.65,10,25000,14.2,1,18
1.08,64,5000,9.43,1,14
3.97,78,25000,7.77,0,21
1.31,89,15000,22.34,1,15
3.8,67,15000,1.23,0,9
2.77,42,25000,16.64,1,23
2.63,68,15000,24.02,1,24
2.29,98,15000,8.72,0,13
1.31,12,15000,18.5,0,10
1.12,9,5000,20.4,0,8
1.27,74,5000,20.0,1,15
1.15,81,15000,13.93,0,10
3.23,97,25000,11.05,1,26
1.73,40,5000,25.24,1,16
0.7,49,25000,22.99,0,15
3.89,86,15000,10.32,1,21
3.59,70,15000,3.99,0,12
3.75,58,25000,3.08,0,17
3.98,38,5000,3.73,0,4
1.11,2,25000,17.9,0,14
1.89,75,25000,2.5,1,22
3.15,6,15000,10.77,1,17
2.94,48,5000,22.84,0,17
1.04,25,25000,9.54,0,13
3.36,32,5000,23.14,1,19
1.29,47,15000,22.62,1,16
1.28,78,5000,8.13,0,9
2.38,1,15000,22.14,1,21
2.58,70,5000,22.69,1,23
2.53,31,25000,12.53,1,24
0.82,3,15000,7.1,1,13
3.57,19,25000,16.12,0,21
1.43,35,15000,27.72,1,20
0.95,31,5000,19.55,0,6
3.61,27,5000,6.01,0,6
3.84,76,15000,20.8,0,18
3.52,0,15000,13.39,1,18
3.33,59,15000,18.15,1,24
2.79,55,5000,22.29,0,9
2.43,34,15000,15.93,1,18
0.8,29,15000,24.61,0,12
1.93,53,25000,21.94,0,22
1.8,35,15000,18.84,1,18
1.41,54,25000,5.37,1,19
3.03,88,25000,25.24,1,30
2.24,79,25000,28.14,0,22
0.78,57,5000,4.97,0,8
1.27,82,25000,15.16,1,26
2.89,64,15000,8.51,0,10
0.77,68,5000,22.88,0,6
3.48,50,5000,21.93,0,12
2.23,21,5000,5.09,1,11
2.18,87,5000,26.43,1,20
2.57,52,5000,6.25,1,14
3.39,99,5000,24.12,0,21
1.72,35,5000,14.25,1,15
2.87,67,25000,10.52,0,15
2.48,35,15000,5.59,0,10
1.43,51,15000,5.86,0,6
3.58,52,25000,20.19,1,33
3.29,81,25000,16.96,0,22
2.8,49,5000,4.54,1,10
3.48,79,5000,4.27,0,7
3.54,40,25000,3.1,1,20
2.98,17,5000,22.57,1,20
3.43,21,15000,21.64,1,27
2.94,65,15000,2.69,1,17
2.88,20,5000,17.25,1,16
2.67,99,5000,3.46,1,16
3.13,43,5000,27.21,1,24
1.06,46,15000,27.31,1,19
3.58,38,5000,21.25,0,17
3.55,28,25000,27.86,0,25
0.6,53,5000,24.53,0,7
3.39,89,25000,25.03,0,23
0.95,84,5000,17.52,0,11
1.67,16,5000,9.88,1,10
3.1,79,15000,7.32,1,22
1.06,59,25000,10.49,1,19
3.36,30,25000,19.23,1,28
3.41,72,25000,6.01,1,23
2.28,94,15000,8.5,0,12
0.52,77,25000,14.57,0,16
1.5,48,15000,7.76,1,19
2.66,1,5000,18.07,0,13
3.93,47,5000,27.77,0,22
2.71,13,25000,22.69,1,23
1.41,58,5000,20.33,1,12
2.72,96,5000,17.9,0,16
2.39,98,25000,15.15,0,18
3.23,57,5000,6.41,1,15
0.87,57,25000,26.95,0,17
3.16,50,25000,8.21,1,25
2.39,83,5000,3.65,0,8
3.87,1,5000,22.75,0,15
1.7,40,5000,6.09,1,16
2.71,82,5000,11.78,0,13
3.76,81,5000,1.82,1,14
0.86,15,15000,4.97,0,6
3.78,3,5000,6.02,0,3
2.91,11,15000,2.58,1,13
0.74,28,25000,20.04,0,11
1.55,6,5000,25.27,1,14
2.98,13,5000,11.83,1,16
0.74,11,5000,26.36,0,7
2.54,98,25000,7.19,1,23
1.71,4,15000,10.44,1,21
2.67,80,15000,5.37,1,21
0.66,31,5000,19.0,0,5
3.55,73,5000,13.18,1,21
3.91,42,5000,18.79,1,20
3.89,80,5000,23.09,0,20
3.12,68,25000,16.83,1,27
0.96,44,5000,19.2,1,11
3.15,8,25000,28.12,1,31
0.59,48,5000,9.67,0,5
0.58,32,15000,11.42,0,9
1.63,99,15000,21.81,0,16
2.21,99,5000,18.73,0,11
3.2,17,5000,6.18,0,9
2.89,8,25000,11.91,0,16
2.06,61,5000,14.57,1,15
1.46,56,5000,13.16,0,5
3.99,28,5000,6.17,0,10
1.99,77,15000,27.81,0,20
2.08,24,25000,23.11,0,18
1.07,14,15000,14.96,1,13
3.28,5,25000,20.72,1,30
2.93,41,15000,27.02,0,19
1.27,28,5000,4.95,1,9
0.79,78,15000,8.26,0,11
2.88,92,15000,16.74,1,25
2.79,3,25000,24.17,0,20
1.46,81,25000,2.05,0,8
3.83,56,15000,29.54,0,26
1.03,48,25000,14.19,0,16
2.01,43,25000,11.42,1,20
3.8,79,25000,9.49,0,22
1.97,74,25000,6.06,1,23
2.73,13,25000,23.96,1,27
1.89,2,15000,28.71,1,18
1.46,61,25000,13.0,0,16
3.94,63,5000,28.62,1,29
1.93,44,15000,24.89,1,21
3.63,81,15000,14.95,1,26
1.3,57,15000,20.55,0,12
1.25,19,25000,13.61,1,19
0.61,57,5000,17.2,0,5
2.78,88,25000,2.68,1,21
1.79,56,15000,21.19,1,20
3.53,76,15000,2.53,0,11
2.16,67,15000,24.7,0,17
3.89,77,15000,24.92,1,32
1.15,96,25000,7.88,0,19
3.54,91,5000,10.39,1,16
3.22,51,5000,14.96,1,21
3.2,36,15000,18.3,0,18
3.46,7,5000,9.33,0,5
3.16,43,15000,18.18,0,16
2.69,97,15000,9.64,1,21
0.96,4,5000,2.61,1,5
0.61,68,15000,1.07,1,15
3.72,30,5000,3.93,0,7
2.66,44,15000,23.98,0,16
3.29,8,5000,28.88,0,14
2.19,31,15000,13.38,1,18
0.91,32,5000,15.87,0,10
0.94,66,15000,5.26,0,9
2.9,29,15000,16.98,1,19
2.01,75,15000,5.19,0,11
1.2,28,5000,18.73,0,10
2.22,2,25000,28.06,1,22
0.72,89,15000,6.68,1,19
2.54,56,15000,23.17,1,23
1.44,29,5000,1.68,1,9
3.29,8,15000,11.89,1,16
1.59,25,15000,4.21,1,14
2.09,1,15000,11.22,0,8
0.54,61,15000,6.03,0,8
0.75,2,25000,11.83,1,12
1.87,45,25000,13.11,1,18
2.18,67,15000,9.72,0,13
2.6,24,15000,20.04,1,24
1.52,50,15000,27.65,1,27
2.93,12,25000,12.62,0,18
3.51,43,25000,6.58,0,15
3.23,34,5000,8.85,1,10
0.64,54,5000,25.77,1,14
2.18,86,15000,17.58,0,13
0.87,8,15000,14.2,1,13
1.35,1,25000,5.34,0,13
3.95,60,15000,14.04,0,18
1.0,40,15000,9.08,1,14
2.25,43,25000,28.35,0,18
2.66,63,25000,26.64,0,24
2.96,30,25000,3.43,0,14
2.46,46,25000,15.98,1,27
0.53,1,5000,7.53,1,4
1.64,95,25000,12.91,1,24
2.31,81,25000,26.43,0,25
0.81,76,15000,16.3,0,11
1.73,68,15000,10.69,1,15
0.62,57,15000,7.03,0,8
0.78,43,5000,24.21,0,7
1.89,73,25000,19.11,1,24
0.96,55,25000,14.57,0,15
2.49,42,5000,7.31,0,9
2.91,88,25000,10.69,0,18
3.3,33,15000,28.84,0,24
1.2,29,5000,16.08,0,6
1.09,70,25000,12.62,0,16
0.87,69,5000,16.12,1,13
2.73,54,5000,23.59,1,21
2.97,66,25000,10.86,0,19
0.61,12,15000,6.18,1,14
3.78,2,25000,17.96,1,26
0.68,25,25000,20.29,1,13
2.39,56,15000,21.67,0,18
2.98,23,25000,26.58,1,25
3.55,52,25000,11.76,0,18
3.0,69,25000,3.19,1,16
3.31,42,5000,28.79,1,28
1.69,59,5000,13.62,0,9
3.35,57,5000,19.07,1,20
0.78,48,25000,20.32,0,18
3.63,41,15000,16.85,1,24
2.42,75,5000,6.95,1,15
3.36,99,15000,22.9,1,29
2.08,65,25000,24.31,1,26
2.75,10,5000,17.04,0,7
2.34,97,25000,15.17,0,22
3.06,89,15000,4.3,1,18
0.79,17,5000,3.43,0,0
0.71,84,5000,10.85,1,14
1.36,99,5000,10.01,0,9
1.06,51,5000,28.66,0,13
3.55,45,15000,23.73,0,21
1.27,43,5000,20.14,1,12
3.92,21,25000,16.01,0,17
1.68,52,5000,5.85,0,9
1.14,58,15000,29.38,1,20
3.26,93,5000,11.88,1,17
2.81,29,15000,4.1,1,14
2.24,7,15000,15.32,0,14
2.44,97,25000,26.35,0,25
3.02,56,5000,26.73,0,19
1.3,72,5000,1.32,0,6
3.99,19,5000,26.7,0,17
3.91,24,25000,8.87,0,20
2.78,18,25000,2.13,1,17
1.2,4,15000,25.59,0,12
2.88,74,15000,26.05,0,23
0.75,78,15000,18.29,0,12
0.61,71,25000,17.66,1,19
1.4,82,25000,24.58,0,18
2.12,86,25000,23.8,1,29
3.54,26,15000,26.81,0,23
3.05,39,25000,17.03,1,28
3.1,95,15000,29.06,1,33
1.99,25,15000,29.89,1,20
1.71,26,5000,4.38,0,7
1.8,61,5000,25.64,1,16
3.96,82,5000,15.49,0,16
0.64,49,15000,12.24,1,20
3.53,41,5000,18.78,0,15
2.53,28,5000,2.62,1,7
2.04,38,5000,15.69,1,14
3.04,59,25000,26.26,0,29
2.2,40,15000,7.19,1,16
3.56,32,5000,13.37,0,13
3.65,82,25000,28.24,1,34
1.98,82,25000,13.43,1,23
1.47,96,25000,11.39,0,17
2.57,15,5000,13.78,0,12
3.69,22,25000,16.06,0,19
1.24,6,15000,19.33,1,12
2.68,25,25000,24.22,0,26
2.71,95,25000,14.11,0,21
3.07,11,25000,24.71,1,29
0.96,71,25000,16.48,0,13
3.01,4,15000,10.82,0,12
3.68,91,5000,20.08,1,24
1.13,68,15000,21.81,1,17
1.33,48,15000,17.18,1,19
3.9,25,5000,2.64,1,7
1.13,4,25000,5.93,1,15
3.49,21,5000,9.27,0,10
2.22,78,5000,9.2,1,14
1.37,12,15000,20.53,1,16
3.55,27,5000,1.53,1,10
2.06,32,25000,22.91,0,18
2.3,22,15000,8.69,0,11
1.76,96,25000,9.99,0,18
2.58,17,15000,16.31,0,10
1.07,29,25000,7.26,1,17
1.87,25,5000,26.65,1,15
3.89,15,5000,3.48,1,10
1.4,76,5000,13.89,0,9
2.8,38,25000,25.63,1,29
1.64,32,15000,18.86,0,8
3.21,25,15000,9.48,0,14
0.96,47,15000,13.2,0,10
3.89,64,5000,21.49,1,21
2.09,37,25000,29.22,1,29
1.33,1,15000,26.9,1,13
0.76,5,25000,10.93,1,14
1.09,45,15000,29.95,0,17
2.32,49,5000,1.1,1,11
1.68,37,25000,1.8,0,11
3.4,87,15000,24.89,0,23
2.01,17,15000,6.78,0,9
1.37,26,15000,2.76,0,8
2.66,40,15000,7.88,0,12
2.97,71,5000,13.36,0,11
1.08,91,15000,22.19,0,15
1.09,73,15000,19.11,1,18
0.63,16,5000,7.89,1,8
3.08,61,15000,15.59,0,14
2.82,28,25000,27.86,1,32
2.16,57,25000,24.64,1,28
3.45,69,15000,10.37,1,23
3.32,77,5000,29.49,1,27
2.55,21,5000,21.55,0,12
3.54,5,5000,2.81,1,9
1.22,25,15000,2.02,0,10
0.89,38,15000,5.88,0,8
1.44,11,25000,22.11,1,19
0.7,98,5000,6.33,1,15
2.36,13,15000,15.83,0,12
3.78,21,15000,3.7,0,10
0.64,50,15000,27.71,1,19
0.93,22,5000,10.97,1,9
2.08,47,5000,27.34,0,12
3.77,70,25000,28.4,1,35
1.61,49,5000,1.18,0,7
2.28,88,15000,14.46,0,15
0.65,12,25000,1.72,0,11
1.02,84,5000,27.35,0,8
3.95,9,5000,16.03,1,19
3.88,54,5000,3.17,0,7
0.52,8,5000,4.2,0,1
3.83,78,15000,12.12,1,27
2.74,51,5000,28.27,1,23
3.54,1,15000,21.09,0,16
2.09,24,15000,26.16,1,21
2.3,12,15000,11.63,1,16
2.21,97,25000,2.25,0,19
2.83,50,15000,29.26,1,29
0.99,57,5000,1.5,1,12
0.6,33,25000,28.48,1,24
1.58,34,5000,11.69,1,10
2.97,2,15000,1.29,1,14
1.21,58,5000,20.99,0,10
2.86,69,25000,29.44,1,32
3.89,47,25000,29.0,0,29
0.83,63,5000,5.67,0,8
2.85,18,5000,6.26,1,13
2.05,66,5000,17.4,1,14
3.54,81,25000,19.48,1,34
1.12,72,15000,22.44,1,22
2.92,75,5000,6.25,1,14
3.43,4,15000,28.81,1,25
3.81,66,25000,19.52,1,33
2.89,10,5000,25.56,1,21
2.24,93,5000,16.66,1,20
2.66,67,25000,13.01,1,26
3.54,68,5000,29.34,1,29
2.5,0,15000,17.88,1,20
0.61,90,25000,26.14,0,16
3.76,91,25000,28.65,1,36
2.91,62,5000,20.59,0,15
2.87,28,25000,16.92,0,23
1.25,81,5000,1.1,1,12
2.81,11,5000,2.16,0,4
1.88,76,25000,6.82,1,24
2.78,40,5000,6.39,1,12
0.87,1,15000,8.39,0,9
2.8,36,15000,9.84,1,18
4.0,44,5000,11.44,0,14
0.67,79,15000,13.2,0,9
3.92,47,5000,3.87,1,17
1.92,23,15000,2.23,0,7
3.55,98,25000,20.54,0,27
3.24,21,5000,16.58,1,17
2.48,99,5000,13.88,0,10
3.08,10,5000,19.4,1,19
3.57,57,5000,25.0,1,24
1.91,45,5000,13.4,1,15
1.64,28,5000,19.59,1,13
2.84,34,25000,28.65,0,23
3.33,14,25000,25.35,1,29
3.17,59,15000,13.35,0,16
3.29,94,5000,19.7,0,17
2.02,41,15000,6.14,1,16
3.36,42,15000,17.26,1,22
0.92,79,25000,29.46,1,25
2.41,73,15000,16.03,0,16
0.52,48,25000,27.9,1,21
1.64,63,15000,12.81,0,16
1.78,31,5000,29.97,1,19
1.89,63,15000,17.8,1,24
2.93,1,25000,2.23,0,11
1.86,23,25000,18.02,0,16
2.07,86,25000,8.96,1,22
1.33,65,15000,1.94,1,16
1.81,37,15000,24.8,1,20
1.3,30,25000,9.0,0,12
0.76,25,5000,24.1,1,8
2.61,28,5000,9.36,1,16
2.84,66,15000,6.64,0,11
2.67,77,15000,29.24,1,31
2.12,24,25000,11.49,0,15
1.83,47,15000,18.44,0,15
3.52,64,15000,18.69,1,25
2.32,52,25000,17.25,1,25
2.18,66,25000,27.53,0,20
0.59,89,15000,20.56,0,15
1.69,17,5000,12.71,1,11
1.83,8,15000,26.01,0,15
1.9,37,5000,6.25,0,3
2.53,86,5000,16.78,1,17
2.37,20,5000,28.57,0,14
2.63,64,25000,19.14,0,20
3.18,20,25000,24.69,0,24
3.35,26,25000,19.95,0,22
3.01,69,15000,25.34,0,25
3.84,43,25000,28.39,0,30
0.56,99,25000,8.91,1,21
1.19,27,15000,5.92,1,14
0.53,44,15000,15.04,1,18
2.77,16,5000,21.35,1,15
3.64,39,15000,7.59,0,13
1.35,2,15000,1.12,1,10
3.74,75,25000,10.95,0,22
0.71,75,5000,29.1,1,14
3.77,65,5000,21.15,0,18
1.73,45,15000,12.64,1,18
0.85,85,25000,6.58,0,12
2.2,86,25000,11.33,1,25
1.4,29,25000,5.93,1,17
1.5,68,25000,4.08,1,22
1.58,8,15000,27.3,1,17
3.31,84,25000,29.93,1,36
2.39,10,5000,5.76,0,5
1.59,68,5000,2.58,1,11
2.64,98,15000,10.56,0,18
3.01,90,25000,14.39,1,27
1.45,65,25000,6.94,1,20
1.95,87,25000,9.74,1,24
0.93,30,25000,6.83,0,10
1.13,32,15000,23.45,1,22
2.88,38,25000,21.66,1,25
1.14,93,15000,19.41,0,15
2.34,45,25000,12.23,0,17
2.98,36,25000,27.36,0,26
0.87,91,5000,29.12,0,11
2.49,59,15000,6.04,1,16
1.4,30,5000,7.47,0,1
3.87,10,15000,16.24,0,12
2.19,86,25000,3.65,1,21
3.32,1,25000,13.66,0,20
2.43,26,15000,17.87,0,10
0.65,98,5000,16.14,0,12
2.72,1,15000,10.6,1,19
3.83,20,15000,16.73,0,14
2.61,57,25000,28.81,0,22
3.37,4,5000,6.97,0,4
3.59,51,15000,19.99,1,26
1.3,44,5000,2.26,1,11
1.24,84,5000,2.93,0,7
2.64,92,15000,17.0,1,22
1.94,19,5000,4.04,0,4
3.44,60,25000,1.65,1,22
3.65,37,25000,5.97,1,21
1.74,19,25000,17.38,0,14
1.33,24,25000,21.4,0,17
3.23,1,5000,6.87,0,5
1.46,31,25000,20.38,1,23
3.38,25,15000,6.29,0,10
1.98,69,25000,18.79,1,27
2.84,40,15000,12.95,1,22
0.83,66,15000,19.96,0,14
2.68,96,25000,29.86,1,32
2.08,0,25000,28.2,1,24
2.55,50,5000,1.12,0,7
1.09,4,15000,26.68,1,16
3.08,12,25000,2.93,1,18
3.52,18,5000,28.64,0,17
1.26,11,25000,9.17,0,15
0.84,47,25000,12.08,0,16
0.58,24,25000,3.66,1,17
2.75,56,15000,4.26,1,15
2.62,34,25000,22.08,1,25
2.41,75,5000,28.39,0,16
1.31,93,25000,18.71,1,25
1.87,4,25000,21.76,1,21
2.58,97,5000,23.1,1,19
2.24,21,5000,8.62,0,6
3.96,76,15000,2.31,0,13
0.98,56,15000,1.05,0,9
2.93,46,15000,11.17,1,19
1.92,53,15000,8.0,1,15
2.0,2,5000,2.81,0,2
3.01,52,25000,6.21,0,17
2.92,83,25000,4.61,1,20
3.97,30,25000,27.53,0,31
0.95,68,15000,5.07,1,16
0.86,87,5000,16.59,0,5
3.04,32,5000,18.2,0,13
2.52,71,5000,16.76,0,13
1.46,87,25000,3.87,1,20
0.78,49,15000,10.25,0,12
0.8,83,5000,2.49,1,11
3.63,15,15000,12.47,0,15
1.17,75,5000,6.47,0,7
1.63,76,15000,17.29,1,19
1.29,38,5000,21.09,1,17
1.74,88,15000,16.43,0,17
0.74,45,5000,13.59,1,10
2.32,95,5000,12.23,0,12
0.74,87,15000,25.41,1,23
3.3,46,15000,7.36,1,21
1.32,43,25000,22.29,0,15
2.39,8,15000,22.97,0,18
3.58,86,5000,13.16,1,21
2.78,49,5000,9.62,1,12
2.37,76,15000,14.65,0,15
1.64,59,25000,3.7,1,21
1.67,95,15000,2.33,1,15
2.84,14,5000,4.24,1,12
3.98,35,5000,6.43,1,18
2.82,62,25000,15.62,0,22
2.45,68,15000,25.62,0,19
3.06,85,5000,7.83,1,15
2.13,79,5000,28.12,1,22
0.71,40,5000,28.69,0,5
2.47,73,15000,28.81,1,25
3.85,23,15000,25.29,1,24
1.11,81,25000,11.55,1,23
2.92,48,5000,3.11,1,11
1.2,17,5000,17.5,1,13
2.38,6,25000,17.2,0,17
0.84,3,5000,25.65,1,9
2.08,89,25000,29.88,1,30
3.15,68,25000,15.74,1,25
1.72,59,5000,11.01,0,11
2.83,54,15000,6.39,1,16
3.28,15,15000,1.14,1,12
3.75,98,15000,15.76,0,18
1.32,89,15000,17.11,0,12
1.9,81,5000,24.92,0,13
1.03,28,25000,15.63,0,11
3.97,22,25000,27.58,1,33
3.74,13,5000,19.21,1,20
2.39,78,15000,25.37,1,24
3.45,48,25000,5.3,0,11
